year,month,month_name,category_name,category_type,total_orders,total_items,total_revenue,avg_item_value
2025,10,October  ,Фастфуд,Основная,6,8,3390.08,484.3
2025,10,October  ,Салаты,Дополнительная,5,8,3230.14,403.77
2025,10,October  ,Напитки,Основная,3,4,2411.36,803.79
2025,10,October  ,Популярное,Основная,6,8,1983.98,248.0
2025,10,October  ,Other,Дополнительная,2,2,1422.0,711.0
2025,10,October  ,Десерты,Дополнительная,2,2,668.34,334.17
2025,10,October  ,Здоровое питание,Дополнительная,1,1,402.78,402.78
2025,9,September,Салаты,Дополнительная,9,17,6128.4,437.74
2025,9,September,Фастфуд,Основная,7,13,5653.92,471.16
2025,9,September,Популярное,Основная,5,6,2477.43,412.91
2025,9,September,Other,Дополнительная,3,3,2133.0,711.0
2025,9,September,Напитки,Основная,2,2,1205.68,602.84
2025,9,September,Здоровое питание,Дополнительная,2,2,805.56,402.78
2025,8,August   ,Салаты,Дополнительная,7,13,6221.66,518.47
2025,8,August   ,Фастфуд,Основная,9,11,4571.05,457.11
2025,8,August   ,Other,Дополнительная,3,5,3555.0,1185.0
2025,8,August   ,Популярное,Основная,5,6,3392.51,565.42
2025,8,August   ,Напитки,Основная,4,4,2411.36,602.84
2025,8,August   ,Здоровое питание,Дополнительная,3,3,1208.34,402.78
2025,8,August   ,Десерты,Дополнительная,2,2,668.34,334.17
2025,7,July     ,Популярное,Основная,1,2,1161.77,580.89
2025,7,July     ,Салаты,Дополнительная,1,2,647.11,323.56
2025,7,July     ,Здоровое питание,Дополнительная,1,1,402.78,402.78
2025,3,March    ,Фастфуд,Основная,1,1,299.0,299.0
2025,3,March    ,"Макароны, крупы и мука",Дополнительная,1,1,107.0,107.0
2025,3,March    ,Популярное,Основная,1,1,107.0,107.0
